-0x2f73 SSL_ERROR_RX_MALFORMED_DHE_KEY_SHARE
-0x2f72 SSL_ERROR_RX_UNEXPECTED_ENCRYPTED_EXTENSIONS
-0x2f71 SSL_ERROR_MISSING_EXTENSION_ALERT
-0x2f70 SSL_ERROR_KEY_EXCHANGE_FAILURE
-0x2f6f SSL_ERROR_EXTENSION_DISALLOWED_FOR_VERSION
-0x2f6e SSL_ERROR_RX_MALFORMED_ENCRYPTED_EXTENSIONS
-0x2f6d SSL_ERROR_MALFORMED_PRE_SHARED_KEY
-0x2f6c SSL_ERROR_MALFORMED_EARLY_DATA
-0x2f6b SSL_ERROR_END_OF_EARLY_DATA_ALERT
-0x2f6a SSL_ERROR_MISSING_ALPN_EXTENSION
-0x2f69 SSL_ERROR_RX_UNEXPECTED_EXTENSION
-0x2f68 SSL_ERROR_MISSING_SUPPORTED_GROUPS_EXTENSION
-0x2f67 SSL_ERROR_TOO_MANY_RECORDS
-0x2f66 SSL_ERROR_RX_UNEXPECTED_HELLO_RETRY_REQUEST
-0x2f65 SSL_ERROR_RX_MALFORMED_HELLO_RETRY_REQUEST
-0x2f64 SSL_ERROR_BAD_2ND_CLIENT_HELLO
-0x2f63 SSL_ERROR_MISSING_SIGNATURE_ALGORITHMS_EXTENSION
-0x2f62 SSL_ERROR_MALFORMED_PSK_KEY_EXCHANGE_MODES
-0x2f61 SSL_ERROR_MISSING_PSK_KEY_EXCHANGE_MODES
-0x2f60 SSL_ERROR_DOWNGRADE_WITH_EARLY_DATA
-0x2f5f SSL_ERROR_TOO_MUCH_EARLY_DATA
-0x2000 SEC_ERROR_IO
-0x1fff SEC_ERROR_LIBRARY_FAILURE
-0x1ffe SEC_ERROR_BAD_DATA
-0x1ffd SEC_ERROR_OUTPUT_LEN
-0x1ffc SEC_ERROR_INPUT_LEN
-0x1ffb SEC_ERROR_INVALID_ARGS
-0x1ffa SEC_ERROR_INVALID_ALGORITHM
-0x1ff9 SEC_ERROR_INVALID_AVA
-0x1ff8 SEC_ERROR_INVALID_TIME
-0x1ff7 SEC_ERROR_BAD_DER
-0x1ff6 SEC_ERROR_BAD_SIGNATURE
-0x1ff5 SEC_ERROR_EXPIRED_CERTIFICATE
-0x1ff4 SEC_ERROR_REVOKED_CERTIFICATE
-0x1ff3 SEC_ERROR_UNKNOWN_ISSUER
-0x1ff2 SEC_ERROR_BAD_KEY
-0x1ff1 SEC_ERROR_BAD_PASSWORD
-0x1ff0 SEC_ERROR_RETRY_PASSWORD
-0x1fef SEC_ERROR_NO_NODELOCK
-0x1fee SEC_ERROR_BAD_DATABASE
-0x1fed SEC_ERROR_NO_MEMORY
-0x1fec SEC_ERROR_UNTRUSTED_ISSUER
-0x1feb SEC_ERROR_UNTRUSTED_CERT
-0x1fea SEC_ERROR_DUPLICATE_CERT
